"GUID","Index","Name","Description","Category","Productivity","Risk","SoftwareFlags","Reference","PluginName"
"MAGICJAK",460,"MagicJack","Magic Jack is a USB device that allows any phone to make free calls within the US and Canada.","Streaming Media",3,5,0,"","sip"
"MAILQ",160,"MAILQ","Protocol for service type MAILQ registered with IANA on Port 174 tcp/udp","Mail",3,1,0,"","portmap"
"MAILRU",1403,"Mail.ru","Traffic generated by using Russian web-mail services and mobile email apps","Web Services",3,3,0,"","sites"
"MANET",215,"MANET","Mobile Ad-hoc Networks Protocol.","Networking",3,1,0,"","portmap"
"MANMSGSP",1292,"MMS System","Manufacturing Message Specification being used to send real-time process data.","Networking",5,1,0,"","scada"
"MANOLITO",593,"Manolito","Manolito P2P (MP2P) is a free peer-to-peer file sharing network. Users can download music, create playlists, and use instant messaging to chat with friends.","File Transfer",1,5,0,"","manolito"
"MAPI",511,"MAPI","The protocol that Microsoft Outlook uses to communicate with Microsoft Exchange.","Mail",5,3,0,"","exchange"
"MARCA",866,"Marca","Traffic generated by browsing and watching videos on the Marca website.","Web Services",2,2,0,"","sites"
"MARKETO",1353,"Marketo Ads sites","Traffic consists of general browsing data generated by Marketo ads sites.","Web Services",5,1,0,"","sites"
"MASHABLE",1139,"Mashable","Traffic generated from reading articles on mashable.com.","Web Services",2,1,0,"","sites"
"MASQDIAL",197,"Masqdialer","The masqdialer system allows authorized LAN users to manipulate the network interface, usually a modem, that gives Internet access on a Linux box without having to use Telnet.","Networking",3,1,0,"","portmap"
"MATCH",736,"match.com","General browsing, searching, and messaging on online dating site match.com","Social Networking",2,1,0,"","sites"
"MATIP",245,"MATIP","MATIP support allows the z/TPF system to receive and transmit airline reservation, ticketing, and messaging traffic over a Transmission Control Protocol/Internet Protocol (TCP/IP) network.","Networking",3,1,0,"","portmap"
"MAXDB",1084,"MaxDB","SQL connections and queries made to a MaxDB SQL server.","Database",5,2,0,"","sap"
"MAXPOINT",955,"MaxPoint Interactive","Traffic generated by browsing websites that use MaxPoint Interactive to generate digital ads.","Web Services",3,1,0,"","sites"
"MBGA",1301,"Mobaga Town","Mobaga Town Japanese online gaming","Games",1,2,0,"","sites"
"MCAFEE",548,"McAfee","McAfee Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"MCFTP",347,"MC-FTP","Multicast FTP (File Transfer Protocol)","File Transfer",2,3,0,"","portmap"
"MCIDAS",110,"McIDAS","McIDAS (Man computer Interactive Data Access System) Data Transmission Protocol.","File Transfer",2,1,0,"","portmap"
"MDNS",405,"MDNS","MDNS (Multicast DNS)","Networking",3,1,0,"","dns"
"MDOTM",989,"MdotM","Traffic generated by browsing websites that use MdotM to generate ad traffic.","Web Services",3,1,0,"","sites"
"MEDIA6DG",911,"Media6Degrees","Traffic generated by browsing websites that use Media6Degrees to generate ad traffic.","Web Services",3,1,0,"","sites"
"MEDIAFRE",502,"MediaFire","Online File and Media hosting.","File Transfer",3,4,0,"","sites"
"MEDIAINV",912,"Media Innovation Group","Traffic generated by browsing websites that use Media Innovation Group to generate ad traffic.","Web Services",3,1,0,"","sites"
"MEDIAMND",833,"Mediamind","Traffic generated by browsing a website that users Mediamind to create customized ads for individual users.","Web Services",1,1,0,"","sites"
"MEDIAMTH",813,"Media Math","Traffic generated by browsing a website that uses Media Math to generate ad traffic.","Web Services",1,1,0,"","sites"
"MEDIAPLX",804,"Mediaplex","Traffic generated by browsing a website that uses Mediaplex to gather user information.","Web Services",1,1,0,"","sites"
"MEDIAV",887,"MediaV","Traffic generated by browsing websites that use MediaV to generate ad traffic.","Web Services",3,1,0,"","sites"
"MEEBO",565,"Meebo","Meebo is an instant messaging (IM) web platform that can connect with numerous IM networks.","Messaging",2,2,0,"","meebo"
"MEERKAT",1410,"Meerkat","Live video broadcast and streaming traffic from Meerkat mobile apps.","Social Networking",1,1,0,"https://meerkatapp.co/","sites"
"MEETMAKR",416,"Meeting Maker","A cross-platform personal calendar and group scheduling software application from PeopleCube.","Collaboration",5,1,0,"","portmap"
"MEETUP",737,"Meetup","General browsing, searching, event setup, and messaging on group organizing and networking site Meetup","Social Networking",2,1,0,"","sites"
"MEGASHRS",644,"Megashares","File sharing/storage site","File Transfer",1,4,0,"","sites"
"MELON",1191,"Melon.com","Traffic generated by browsing the MelOn website and listening to music that can be found there.","Web Services",1,1,0,"","sites"
"MERCADOL",1135,"Mercado Livre","Traffic generated by browsing and shopping on mercadolivre.com.br.","Web Services",2,1,0,"","sites"
"MERCIS",1229,"Mercis","Traffic generated by browsing websites that use 1000 Mercis to generate ad traffic and gather analytics","Web Services",3,1,0,"","sites"
"META5",280,"Meta5","A business intelligence tool that allows users to visually create reports that can access multiple corporate data sources. Registered with IANA on tcp/udp port 393","Networking",3,1,0,"","portmap"
"METACAFE",453,"Metacafe","A community based video sharing web site, that specializes in short-form original entertainment, where users upload, view and share video clips.","Streaming Media",1,3,0,"","metacafe"
"METAGRAM",98,"Metagram","Protocol for service type Metagram Relay registered with IANA on Port 99 tcp/udp","Networking",3,4,0,"","portmap"
"MFCOBOL",86,"MF Cobol","Micro Focus Cobol Directory Service","Networking",4,1,0,"","portmap"
"MFTP",244,"MFTP","Designed for the purpose of file sharing. It is still under development, and therefore may acquire more features or other improvements in addition to those discussed in this article. This is the communication protocol used by such clients as eMule and eDonkey and, in its extended implementation, by the Overnet network.","Networking",3,1,0,"","portmap"
"MGCP",426,"MGCP","Media Gateway Control Protocol (MGCP) is a text-based signalling and call control communications protocol used in VoIP systems","Streaming Media",3,1,0,"","mgcp,portmap"
"MGNTALOG",229,"Magenta Logic","Protocol for service type Magenta Logic registered with IANA on Port 313 tcp/udp","Networking",3,1,0,"","portmap"
"MICRSOFT",1106,"Microsoft","Traffic going to and from Microsoft's primary websites, microsoft.com, and windows.com.","Web Services",4,1,0,"","sites"
"MICSTORE",1212,"Microsoft Store","Traffic generated by browsing microsoftstore.com","Web Services",3,1,0,"","sites"
"MILENIAL",894,"Millennial Media","Traffic generated by browsing a website that uses Millennial Media to generate ads.","Web Services",3,1,0,"","sites"
"MINCRAFT",1406,"Minecraft","Playing and updating Minecraft on desktop and mobile platforms.","Games",1,1,0,"https://minecraft.net/","games"
"MINISQL",359,"Mini SQL","A lightweight database management system.","Database",4,1,0,"","portmap"
"MITSPL",90,"MIT Spooler","Protocol for service type MIT Dover Spooler registered with IANA on Port 91 tcp/udp","Networking",3,1,0,"","portmap"
"MIXI",1302,"Mixi","Japanese social networking service","Social Networking",1,2,0,"","sites"
"MIXPANEL",987,"Mixpanel","Traffic generated by browsing websites that use Mixpanel for user analytics.","Web Services",3,1,0,"","sites"
"MLDEV",84,"mit-ml-dev","MIT ML Device, port 83/tcp and 83/udp","Networking",3,1,0,"","portmap"
"MLNADS",1147,"MLN Advertising","Online customers tracking and advertising traffic content from an advertising company MLN Advertising Inc.","Web Services",4,1,0,"","sites"
"MMS",848,"MMS","A standard way to send messages that include multimedia content to and from mobile phones.","Messaging",2,2,0,"","mms"
"MOBILCOR",1469,"mobileCore","Traffic generated by using mobile apps that use mobileCore to host media or ads.","Web Services",1,1,0,"https://www.mobilecore.com/","sites"
"MOBILIP",313,"MobileIP","An Internet Engineering Task Force (IETF) standard communications protocol that is designed to allow mobile device users to move from one network to another while maintaining a permanent IP address.","Networking",3,1,0,"","portmap"
"MOBITHRY",895,"mobile theory","Traffic generated by browsing websites that use mobile theory to generate ad traffic.","Web Services",3,1,0,"","sites"
"MODBUS",1289,"Modbus","Modbus being used by 2 or more PLC's to communicate.","Networking",5,1,0,"","portmap,scada"
"MOJANG",1405,"Mojang","Content delivery and web traffic from Mojang, developer of the popular video game Minecraft.","Games",2,1,0,"https://mojang.com/","games"
"MOJIVA",896,"Mojiva","Traffic generated by browsing a website that uses Mojiva to generate ads.","Web Services",3,1,0,"","sites"
"MONETATE",879,"Monetate","Traffic generated by browsing websites that use Monetate to generate ads.","Web Services",3,1,0,"","sites"
"MOPCOM",1123,"Mop.com","Traffic generated by browsing articles and media on mop.com.","Web Services",1,1,0,"","sites"
"MOPUB",1465,"MoPub","Traffic generated by using mobile apps that use MoPub to generate ad traffic and gather analytics.","Web Services",1,1,0,"http://www.mopub.com/","sites"
"MOTLYFOO",1124,"Motley Fool","Traffic generated by browsing articles, media, and discussions on fool.com.","Web Services",3,1,0,"","sites"
"MOTRIXI",915,"Motrixi","Traffic generated by browsing websites that use Motrixi to generate ads.","Web Services",3,1,0,"","sites"
"MOVIE2K",645,"movie2k","A websites that allows visitors to stream films without requiring registration. Intended primarily for German and English speaking visitors.","Streaming Media",1,5,0,"","sites"
"MOZILLA",694,"Mozilla","General browsing of internet-related application development group Mozilla Corporation website. Includes downloads/updates to Mozilla Firefox.","Web Services",3,1,0,"","sites"
"MPEGTS",1312,"MPEG Transport Stream","Traffic generated by streaming audio and video data in MPEG v1 and v2 format over UDP.","Streaming Media",2,2,0,"","mpeg"
"MPLSMC",14,"MPLS Multicast","MPLS (Multiprotocol Label Switching) multicast traffic","Networking",3,1,0,"","nonip"
"MPLSUC",13,"MPLS Unicast","MPLS (Multiprotocol Label Switching) unicast traffic","Networking",3,1,0,"","mpls,nonip"
"MPM",58,"MPM","Internet Message Protocol - RFC 753","Messaging",3,1,0,"","portmap"
"MPP",192,"MPP","Netix Message Posting Protocol is a network protocol that is used for posting messages from a computer to a mail service host.","Networking",3,1,0,"","portmap"
"MPTN",284,"MPTN","Port 397/tcp and 397/udp","Networking",3,1,0,"","portmap"
"MRTGWARE",261,"MortgageWare","A product developed by Interlinq Software Corp that automates all components of the loan originating process.","Networking",3,1,0,"","portmap"
"MSBITS",429,"BITS","BITS (Microsoft Background Intelligent Transfer Service) is a file transfer protocol used primarily for Microsoft Updates.","File Transfer",4,1,0,"","bits"
"MSCDN",1109,"MS CDN","Traffic relating to Microsoft Azure's Content Delivery Network. Traffic going to and from msecnd.net.","Web Services",4,1,0,"","sites"
"MSDN",504,"MSDN","MSDN (Microsoft Developer Network)","File Transfer",4,2,0,"","sites"
"MSG",51,"MSG","Port 29/tcp and 29/udp. Port 31/tcp and 31/udp","Networking",2,1,0,"","portmap"
"MSMQ",413,"MSMQ","MSMQ is essentially a messaging protocol that allows applications running on separate servers/processes to communicate in a failsafe manner.","Messaging",3,1,0,"","portmap"
"MSN",469,"MSN","Traffic generated by browsing msn.com and related sites.","Web Services",2,1,0,"","sites"
"MSN2GO",673,"MSN2Go","A third party service for Windows Live Messenger","Messaging",1,4,0,"","sites"
"MSNP",454,"MSNP","An instant messaging protocol developed by Microsoft for use by the .NET Messenger Service and the instant messaging clients that connect to it, such as Windows Live Messenger.","Messaging",3,2,0,"","msmessenger"
"MSOLAP",417,"MS OLAP","An online analytical processing capability that is a component of Microsoft SQL Server.","Database",4,1,0,"","portmap"
"MSONLINE",485,"MS Online","Microsoft Online Services provides resources for Microsoft's online software suite that includes Exchange Online, Sharepoint Online, Office 365, Outlook and Azure CDN.","Web Services",4,2,0,"","sites"
"MSP",43,"MSP","An application layer protocol used to send a short message between nodes on a network.","Messaging",1,1,0,"","portmap"
"MSSQL",388,"MS SQL","A relational database server produced by Microsoft.","Database",5,1,0,"","portmap,tds"
"MTA",514,"MTA","Microsoft Exchange Mail Transfer Agent","Mail",5,1,0,"","exchange"
"MULTIPLY",646,"multiply.com","A social shopping site that connects merchants with shoppers, offering both products and services. It provides social media tools that allow shops to spread the word through their network and help shoppers share their opinions and experiences with each other.","Social Networking",1,2,0,"","sites"
"MULTPLEX",157,"Multiplex","Network Innovations Multiplex","Networking",3,1,0,"","portmap"
"MULTUPLD",647,"Multiupload","A forwarding site for major upload sites such as, Megaupload, UploadKing, depositfiles, hotfile, Uploadhere, Zshare, Filesonic, Fileserve, Wupload","File Transfer",2,4,0,"","sites"
"MUMPS",173,"MUMPS","Plus Five's MUMPS","Networking",3,1,0,"","portmap"
"MUTENET",605,"MUTE-net","A peer-to-peer file sharing network that uses a routing algorithm inspired by ant colonies. MUTE-net has been unmaintained since April 2007, although software compatible with the MUTE network has been updated since then.","File Transfer",1,5,0,"","mutenet"
"MUZU",754,"MUZU.TV","General browsing, feature interaction, streaming media from music video site MUZU.TV","Streaming Media",1,3,0,"","sites"
"MYBUYS",980,"MyBuys","Traffic generated by browsing a website that uses MyBuys to generate ad traffic.","Web Services",3,1,0,"","sites"
"MYSPACE",475,"MySpace","MySpace is a social networking service.","Social Networking",1,5,0,"","socialnet"
"MYSQL",379,"MySQL","A relational database management system (RDBMS) that runs as a server providing multi-user access to a number of databases.","Database",4,1,0,"","mysql,portmap"
"MYWEBSRH",738,"mywebsearch","General browsing and searching with internet search website mywebsearch","Web Services",3,1,0,"","sites"
"N2PHN",1270,"Net2Phone","Traffic generated in general use of Net2Phone CommCenter","Messaging",5,1,0,"","net2phone"
"N2PHNMED",1271,"Net2Phone Media","Media traffic associated with Net2Phone calling services","Messaging",5,2,0,"","net2phone"
"NAMP",153,"NAMP","Neighbor Aware Multicast Routing Protocol","Networking",3,1,0,"","portmap"
"NATE",1040,"Nate.com","General nate.com web traffic.","Web Services",3,1,0,"","nateon"
"NATEFILE",1045,"NateOn File","File transfer traffic generated by the NateOn application.","File Transfer",3,2,0,"","nateon"
"NATEON",1042,"NateOn","Traffic generated from the NateOn instant messaging application.","Messaging",3,2,0,"","nateon"
"NATEPHN",1044,"NateOn Phone","Voice traffic generated by the NateOn instant messaging application.","Messaging",3,1,0,"","nateon"
"NATERMT",1043,"NateOn Remote","Remote control traffic generated by the NateOn instant messaging application that allows the user to control another user's computer.","Remote Access",3,3,0,"","nateon"
"NATEVID",1041,"Nate Video","Video traffic streamed from nate.com.","Streaming Media",1,2,0,"","nateon"
"NAVER",786,"Naver","Traffic generated by browsing, searching, and streaming media from Korean website Naver","Web Services",2,2,0,"","sites"
"NAVERISK",783,"Naverisk","Traffic to and from Naverisk clients. Traffic is forwarded to a Naverisk Site Controller hosted on a cloud on the Internet.","Network Monitoring",5,1,0,"","naverisk"
"NBA",867,"NBA","General browsing, interaction, and streaming media from the NBA website","Web Services",3,2,0,"","sites"
"NBUZZ",1070,"Nimbuzz","Traffic generated by the Nimbuzz messaging application.","Messaging",1,1,0,"","nimbuzz"
"NBUZZMMS",1072,"Nimbuzz MMS","Traffic generated by the Nimbuzz messaging application to transfer files and provide multimedia services.","Web Services",1,2,0,"","nimbuzz"
"NBUZZWLD",1071,"Nimbuzz World","Traffic generated by the N-World feature of Nimbuzz, which allows users to purchase bots, games and gifts.","Web Services",1,1,0,"","nimbuzz"
"NCED",291,"NCED","Port 404/tcp and 404/udp","Networking",3,1,0,"","portmap"
"NCLD",292,"NCLD","Port 405/tcp and 405/udp","Networking",3,1,0,"","portmap"
"NDSAUTH",247,"NDS Auth","A software module from Symantec Corporation","Networking",3,1,0,"","portmap"
"NETEASE",674,"Netease","Netease is a popular Chinese web portal","Web Services",3,2,0,"","sites"
"NETFLOW",1305,"Netflow","Cisco NetFlow protocol","Networking",4,1,0,"","netflow"
"NETFLX",578,"Netflix Site","Subscription based video streaming service","Streaming Media",1,2,0,"","netflix"
"NETFLXVD",579,"Netflix Video Stream","Video streams from Netflix service","Streaming Media",1,2,0,"","netflix"
"NETINFO",351,"Netinfo","Port 1033/tcp and 1033/udp","Networking",3,1,0,"","portmap"
"NETLOGON",517,"Netlogon","The Microsoft Net Logon service verifies logon requests, and it registers, authenticates, and locates domain controllers.","Networking",5,1,0,"","ad"
"NETMEETG",558,"NetMeeting","A VoIP and multi-point videoconferencing client included in many versions of Microsoft Windows","Collaboration",5,3,0,"","h323"
"NETSC",145,"NETSC","Protocols for service type netsc-prod registered with IANA on Port 154 tcp/udp and service type netsc-dev registered with IANA on Port 155 tcp/udp","Networking",3,1,0,"","portmap"
"NETSCOUT",282,"NetScout","Port 395/tcp and 395/udp","Networking",3,1,0,"","portmap"
"NETSEER",943,"NetSeer","Traffic generated by browsing websites that use NetSeer to generate ads.","Web Services",3,4,0,"","sites"
"NETSUITE",1318,"NetSuite","The traffic consists of data from browsing, login and logout of NetSuite websites and its software services.","Web Services",5,1,0,"","sites"
"NETWARE",283,"Netware","A network operating system developed by Novell, Inc. It initially used cooperative multitasking to run various services on a personal computer, with network protocols based on the archetypal Xerox Network Systems stack.","Networking",3,1,0,"","netware,portmap"
"NETWEAVR",371,"Netweaver","Connecting to a Netweaver server with a client such as a web browser.","Collaboration",5,2,0,"","portmap,sap"
"NEWEGG",716,"newegg.com","General browsing, searching, and shopping on retailer web and mobile site newegg.com","Web Services",3,1,0,"","sites"
"NEWRELIC",1378,"New Relic","Traffic generated by general browsing on New Relic Software Analytics websites.","Web Services",5,1,0,"","sites"
"NEWSAU",1201,"news.com.au","The traffic comes from reading the news, browsing the news.com.au website and watching videos.","Web Services",4,1,0,"","sites"
"NEXAGE",897,"Nexage","Traffic generated by browsing websites that use Nexage to generate ads.","Web Services",3,1,0,"","sites"
"NFA",374,"NFA","A network file system is a file system that acts as a client for a remote file access protocol, providing access to files on a server.","File Transfer",3,2,0,"","portmap"
"NFL",755,"NFL.com","General browsing and streaming videos from the site NFL.com.","Web Services",1,2,0,"","sites"
"NFS",394,"NFS","Allows a user on a client computer to access files over a network in a manner similar to how local storage is accessed.","File Transfer",5,1,0,"","nfs,portmap"
"NICOLIVE",1048,"niconico Live","Streaming live video from the Japanese streaming media site niconico","Streaming Media",1,2,0,"","niconico"
"NICONICO",1047,"niconico","General browsing and interaction on the Japanese streaming media site niconico","Streaming Media",1,2,0,"","niconico"
"NIELSEN",837,"Nielsen","Traffic generated by browsing websites that use Nielsen to track users online browsing patterns.","Web Services",1,1,0,"","sites"
"NIFTP",59,"NI FTP","Network Independent File Transfer Program","File Transfer",3,1,0,"","portmap"
"NIMAIL",70,"NI Mail","NI Mail","Mail",4,1,0,"","portmap"
"NINITE",1432,"Ninite","Creating application installer bundles and managing software updates with the Ninite client.","Web Services",3,2,0,"","sites"
"NIP",269,"NIP","Port 376/tcp and 376/udp","Networking",3,1,0,"","portmap"
"NNSP",312,"NNSP","An Internet application protocol used for transporting Usenet news articles (netnews) between news servers and for reading and posting articles by end user client applications.","Networking",3,1,0,"","portmap"
"NNTP",116,"NNTP","An Internet application protocol used for transporting Usenet news articles (netnews) between news servers and for reading and posting articles by end user client applications.","File Transfer",1,5,0,"","nntp,portmap"
"NOKIA",1058,"Nokia","Traffic generated by browsing the Nokia website","Web Services",3,1,0,"","nokia"
"NOKMAPS",1061,"Nokia Maps","Nokia Maps is a web mapping platform.","Web Services",3,1,0,"","nokia"
"NOKMSG",1063,"Nokia Message","Sending messages on a Nokia device.","Messaging",3,1,0,"","nokia"
"NOKMUSIC",1062,"Nokia Music","A platform for downloading music to your PC or mobile device.","Streaming Media",2,2,0,"","nokia"
"NOKSTORE",1059,"Nokia Store","Traffic generated by browsing and downloading apps on the Nokia Store","Web Services",3,1,0,"","nokia"
"NOKSYNC",1060,"Nokia Sync","Syncing a Nokia device.","Web Services",3,1,0,"","nokia"
"NOTES",508,"Lotus Notes","IBM's enterprise collaboration suite.","Collaboration",5,5,0,"","notes"
"NOVABKUP",224,"NovaBACKUP","NovaStor develops and markets data protection and availability software. NovaBACKUP offers support for multi-OS environments and is capable of handling thousands of servers and petabytes of information.","File Transfer",4,1,0,"","portmap"
"NPARIO",956,"nPario","Traffic generated by browsing websites that use nPario to generate ad traffic.","Web Services",3,1,0,"","sites"
"NPP",91,"NPP","Network Printing enables users in locations geographically separate from each other and from their print devices to produce documents for themselves and others.","Networking",4,1,0,"","portmap"
"NSIIOPS",208,"NSIIOPS","IIOP Name Service","Networking",3,1,0,"","portmap"
"NSRMP",253,"NSRMP","Port 359/tcp and 359/udp","Networking",3,1,0,"","portmap"
"NSS",148,"NSS","NSS Routing","Networking",3,1,0,"","portmap"
"NSSTP",353,"NSSTP","Nebula Secure Segment Transfer Protocol, IANA port 1036/tcp and 1036/udp","Networking",3,1,0,"","portmap"
"NTBIOSDG",1078,"NetBIOS DDS","NetBIOS Datagram Distribution Service. Datagram mode is connectionless. The application is responsible for error detection and recovery.","Networking",5,3,0,"","cifs,portmap"
"NTBIOSNS",1076,"NetBIOS NS","NetBIOS Name Service. In order to start sessions or distribute datagrams, an application must register its NetBIOS name using the name service.","Networking",5,3,0,"","cifs,portmap"
"NTBIOSSS",1077,"NetBIOS SS","NetBIOS Session Service. Session mode lets two computers establish a connection, allows messages to span multiple packets, and provides error detection and recovery.","Networking",5,3,0,"","cifs,portmap"
"NTP",120,"NTP","NTP (Network Time Protocol) is used for synchronizing the clocks of computer systems over the network. Sends small packets with current date and time.","Networking",5,3,0,"","ntp,portmap"
"NTRSTIME",225,"EntrustTime","EntrustTime protocol","Networking",4,1,0,"","portmap"
"NUGG",937,"Nugg","Traffic generated by browsing websites that use Nugg to generate ads.","Web Services",3,1,0,"","sites"
"NURKZ",1404,"nur.kz","Web traffic generated by browsing the nur.kz Kazakhstani news and web portal","Web Services",3,3,0,"","sites"
"NXEDIT",123,"NXEdit","Protocol for service type NXEdit registered with IANA on Port 126 tcp/udp","Networking",3,1,0,"","portmap"
"NXTSTEP",164,"NXTSTEP","NextStep Window Server","Networking",3,1,0,"","portmap"
"NYTIMES",1197,"Nytimes.com","Traffic generated by browsing, reading the articles and watching videos on the New York Times website.","Web Services",4,1,0,"","sites"
"OCBINDER",169,"OCBinder","OCBinder","Networking",3,1,0,"","portmap"
"OCS",309,"OCS","Microsoft Office Communications Server 2007 R2 helps you deliver streamlined communications to your users, so everyone in your organization can communicate with the right person, right now, from the applications they use most.","Networking",3,1,0,"","portmap"
"OCSERVER",170,"OCServer","OCServer","Networking",3,1,0,"","portmap"
"OCSP",796,"OCSP","An OCSP Responder verifying that a user's private key has not been compromised or revoked.","Networking",3,1,0,"","ocsp"
"ODMR",260,"ODMR","An SMTP extension standardized in RFC 2645 that allows e-mail to be relayed after the sender has been authenticated. It uses the extended SMTP command ATRN It is similar to the ETRN command but works with dynamically assigned IP addresses.","Networking",3,1,0,"","portmap"
"ODNOKLAS",1204,"Odnoklassniki.ru","Traffic comes from all the social activities, messaging, browsing other peoples profiles, pictures and such.","Social Networking",1,1,0,"","odnoklassniki"
"OFFICE",1108,"MS Office 365","Traffic generated by office 365 applications and web services.","Web Services",4,1,0,"","sites"
"OFTP",342,"OFTP","OFTP (Odette File Transfer Protocol) is used for EDI (Electronic Data Interchange) between two communications business partners.","File Transfer",4,3,0,"","portmap"
"OFTPS",344,"OFTPS","Odette FTP over SSL/TLS is used primarily for Electronic Data Interchange between two communications business partners.","File Transfer",4,3,0,"","portmap"
"OHANA",921,"Ohana","Traffic generated by browsing websites that use Ohana to generate ads.","Web Services",3,1,0,"","sites"
"OLIVMEDA",986,"Olive Media","Traffic generated by browsing websites that use Olive Media to generate ads.","Web Services",3,2,0,"","sites"
"ONAVO",1307,"Onavo","Traffic generated by using Onavo IOS/Android VPN client, and data compression services.","VPN and Tunneling",3,2,0,"","onavo"
"ONAVOCNT",1308,"Onavo Count","Traffic generated by using Onavo Count app on iPhone/iPad/Android.","VPN and Tunneling",3,2,0,"","onavo"
"ONAVOEXT",1309,"Onavo Extend","Traffic generated by using Onavo Extend app on iPhone/iPad/Android.","VPN and Tunneling",3,2,0,"","onavo"
"ONEDRIVE",1349,"Microsoft OneDrive","Traffic consists of web and desktop app browsing, login, logoff data of OneDrive.","File Transfer",3,4,0,"","sites"
"ONLINEFF",675,"Online File Folder","A storage service provided by godaddy.com","File Transfer",3,4,0,"","sites"
"ONMUX",301,"Onmux","Protocol for service type Onmux registered with IANA on Port 417 tcp/udp","Networking",3,1,0,"","portmap"
"OOVOO",1398,"ooVoo","Traffic generated by using the ooVoo desktop and mobile clients, sending messages, using voice and video chat.","Messaging",2,2,0,"","oovoo"
"OOYALA",1283,"Ooyala","Traffic generated by visiting websites that use Ooyala's video content services","Web Services",3,1,0,"","sites"
"OPALIS",230,"Opalis Robot","A 'three-in-one' comprehensive system management and automation solution. It provides you with real-time monitoring, notification, corrective action and event driven job scheduling so you can proactively manage your Windows NT/W2K environment.","Network Monitoring",3,1,0,"","portmap"
"OPCUA",1295,"OPC UA","OPC Unified Architecture (OPC UA) being used to send real-time M2M plant data between control devices.","Networking",5,1,0,"","portmap,scada"
"OPENCNDY",1202,"OpenCandy","Traffic generated through browsing opencandy.com and advertisements generated by its software module","Web Services",3,4,0,"","sites"
"OPENPORT",207,"Openport","Protocol for service type Openport registered with IANA on Port 260 tcp/udp","Networking",3,1,0,"","portmap"
"OPENVPN",382,"OpenVPN","A free and open source software application that implements virtual private network (VPN) techniques for creating secure point-to-point or site-to-site connections.","VPN and Tunneling",3,1,0,"","openvpn,portmap"
"OPENWEBM",648,"Open Webmail","Simple webmail service","Mail",4,2,0,"","sites"
"OPENX",812,"OpenX","Traffic generated by browsing a website that uses OpenX to generate ads.","Web Services",1,1,0,"","sites"
"OPTIMAX",913,"Optimax","Traffic generated by browsing website that use Optimax to generate ads.","Web Services",3,1,0,"","sites"
"OPTIMZLY",920,"Optimizely","Traffic generated by browsing websites that use Optimizely to generate ad traffic.","Web Services",3,1,0,"","sites"
"ORACLE",286,"Oracle","An object-relational database management system (ORDBMS) produced and marketed by Oracle Corporation.","Database",3,1,0,"","oracle,portmap"
"ORACLMKT",1321,"Oracle Marketing Cloud","The traffic consists of browsing data from Oracle Marketing Cloud website.","Web Services",4,1,0,"","sites"
"ORACLTNS",287,"Oracle TNS","Protocol that provides generic network connectivity with and between Oracle databases.","Database",3,1,0,"","oracle"
"ORKUT",580,"Orkut","Google social networking application","Social Networking",2,2,0,"","socialnet"
"OSCAR",552,"OSCAR","Open System for Communication in Realtime is AOL's flagship instant messaging and presence information protocol. Currently, OSCAR is in use for AOL's two main instant messaging systems: ICQ and AIM.","Messaging",3,2,0,"","icq"
"OSPF",1163,"OSPF","Short for Open Shortest Path First, an interior gateway routing protocol developed for IP networks based on the shortest path first or link-state algorithm.","Networking",3,1,0,"","ip,ipv6"
"OSUNMS",177,"OSUNMS","OSU Network Monitoring System","Networking",3,1,0,"","portmap"
"OUTBRAIN",1232,"Outbrain","Traffic generated by browsing websites that use Outbrain to generate ad traffic and gather analytics","Web Services",3,1,0,"","sites"
"OUTLOOK",1107,"MS Outlook","Traffic generated from Microsoft Outlook's online e-mailing solution.","Mail",4,1,0,"","sites"
"OWNERIQ",878,"OwnerIQ","Traffic generated by browsing websites that use OwnerIQ to generate ads.","Web Services",3,1,0,"","sites"
"PANDA",549,"Panda","Panda Security Antivirus/Security software download and updates.","File Transfer",4,1,0,"","avsecurity"
"PANDO",594,"Pando","Pando is free file sharing application that uses both peer-to-peer and client-server architectures. Users are able to send files that may be too large to send via email.","File Transfer",1,5,0,"","pando"
"PANDORA",631,"Pandora","General Pandora traffic","Streaming Media",1,1,0,"","pandora"
"PANDRATV",710,"Pandora.tv","General browsing, file transfer, and streaming media on video sharing website Pandora.tv","Streaming Media",2,3,0,"","pandoratv"
"PAP",1254,"PAP","Traffic generated by PAP, an authentication protocol within PPP which uses a plaintext password exchange.","Networking",3,1,0,"","pptp"
"PATHTEST",1241,"AppNeta PathTest","Using PathTest to analyze network performance.","Network Monitoring",5,2,0,"","appneta,portmap"
"PATHVIEW",1242,"AppNeta PathView","Using PathView to monitor network performance.","Network Monitoring",5,1,0,"","appneta,portmap"
"PAWSERV",240,"PAWSERV","Allows you to analyze transaction performance and behavioral problems by providing a platform for investigating logs and other historical data","Networking",3,1,0,"","portmap"
"PAYPAL",1194,"PayPal.com","Traffic generated by browsing the paypal website, and making the money transactions using paypal","Web Services",3,1,0,"","sites"
"PCANYWHR",1215,"pcAnywhere","Traffic generated through setting up remote sessions by using pcAnywhere application.","Remote Access",4,3,0,"","pcanywhere,portmap"
"PCHOME",711,"pchome.net","General browsing on Chinese IT information website pchome.net","Web Services",3,1,0,"","sites"
